Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Petty Theft,21-1694,11/29/2021 15:43,11/26/2021   - 11/29/2021 15:43,"Mesa Court Housing, 4041 Mesa Rd, Irvine",Inactive 11/29/2021
Vandalism: Less thn $400/Damages,21-1694,11/29/2021 15:43,11/26/2021   - 11/29/2021 15:43,"Mesa Court Housing, 4041 Mesa Rd, Irvine",Inactive 11/29/2021
Petty Theft,21-1690,11/28/2021 16:34,11/23/2021  23:00 - 11/28/2021 15:00,"Mesa Court Housing, 4013 Mesa Rd, Irvine",Inactive 11/28/2021
Petty Theft,21-1689,11/28/2021 15:07,11/24/2021  08:30 - 11/28/2021 14:30,"Vista Del Campo Norte, 28536 Arroyo Dr, Irvine",Inactive 11/28/2021
Vandalism: Less thn $400/Damages,21-1689,11/28/2021 15:07,11/24/2021  08:30 - 11/28/2021 14:30,"Vista Del Campo Norte, 28536 Arroyo Dr, Irvine",Inactive 11/28/2021
Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
"Fire Report, Non-Arson: fire ignited inside an attachedexterior water heater enclosure.",21-1685,11/27/2021 10:30,11/27/2021  10:30,"University Hills, 129 Schubert Ct, Irvine",Information Only 11/27/2021
Minor:Driver: Op Veh/Alcohol Bev,21-1684,11/27/2021 02:07,11/27/2021  02:07,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Pending 11/27/2021
Vandalism: $400 or More/Damages,21-1684,11/27/2021 02:07,11/27/2021  02:07,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Pending 11/27/2021
CA REGS:NON-AFFILIATE CONSUME ALCOHOL,21-1684,11/27/2021 02:07,11/27/2021  02:07,"Mesa Court Housing, 4001 Mesa Rd, Irvine",Pending 11/27/2021
Grand Theft:Money/Prop/Etc $950+,21-1681,11/26/2021 11:41,11/09/2021  12:00 - 11/12/2021 12:00,"Lot 34, 34 Uci Parking Lot, Irvine",Inactive 11/26/2021
Petty Theft,21-1680,11/25/2021 11:20,11/24/2021  17:00 - 11/25/2021 10:30,"Crawford Pool, 905 W Peltason Dr, Irvine",Pending 11/25/2021
Vandalism: Less thn $400/Damages,21-1680,11/25/2021 11:20,11/24/2021  17:00 - 11/25/2021 10:30,"Crawford Pool, 905 W Peltason Dr, Irvine",Pending 11/25/2021
Batt: Spouse/Ex/Cohab/Date/Etc,21-1674,11/24/2021 17:47,11/24/2021  17:47,"Verano Housing, Irvine",Cleared By Adult Arrest 11/24/2021
Tamper With Vehicle,21-1670,11/24/2021 08:29,11/24/2021  08:29,"Lot 7, 7 Uci Parking Lot, Irvine",Cleared By Adult Arrest 11/24/2021
Petty Theft from Vehicle,21-1670,11/24/2021 08:29,11/24/2021  08:29,"Lot 7, 7 Uci Parking Lot, Irvine",Cleared By Adult Arrest 11/24/2021
Trespass:Refuse Leave Prop:P/O,21-1670,11/24/2021 08:29,11/24/2021  08:29,"Lot 7, 7 Uci Parking Lot, Irvine",Cleared By Adult Arrest 11/24/2021
Nonstudent Refuse Leave Campus,21-1670,11/24/2021 08:29,11/24/2021  08:29,"Lot 7, 7 Uci Parking Lot, Irvine",Cleared By Adult Arrest 11/24/2021
Obstr/Resist/etc Peace Ofcr/EMT,21-1670,11/24/2021 08:29,11/24/2021  08:29,"Lot 7, 7 Uci Parking Lot, Irvine",Cleared By Adult Arrest 11/24/2021
Petty Theft,21-1667,11/23/2021 19:35,11/22/2021  18:00 - 11/23/2021 17:00,"Arroyo Vista Housing, 1048 Arroyo Dr, Irvine",Inactive 11/23/2021
Threaten Crime: Intent Terrorize,21-1665,11/23/2021 16:30,11/23/2021  16:30,"Aldrich Hall, 111 Gateway Quad, Irvine",Pending 11/23/2021
Petty Theft,21-1659,11/23/2021 09:32,11/22/2021  18:00 - 11/23/2021 08:50,"Verano Housing, 69414 Verano Rd, Irvine",Inactive 11/23/2021
Petty Theft,21-1657,11/23/2021 02:12,11/23/2021  02:12,"10 Puerta Del Sol, 10000 Adobe Circle Rd North, Irvine",Cleared By Adult Arrest 11/23/2021
